控件icon名,包含簇号,是否命中,簇内排序,簇内控件总数,"top-1,3,5命中",top-20%命中,Threshold0.49命中
view_7d4f42222b3a2e60272f7dbe81828f8f.png,1,True,18,5412,False,True,False
view_67b206a2242cec6e445f84d58dc224bb.png,1,True,131,5412,False,True,False
view_8133e2b06f41040bd19fd48348238298.png,1,True,287,5412,False,True,False
view_b3c63f7b19fadb8a112d6df4c7000462.png,1,True,429,5412,False,True,False
view_7a1b78888aaa46a10483e22621f71b9b.png,1,True,454,5412,False,True,False
view_95f67622e5147705d104f32148611b5b.png,1,True,496,5412,False,True,False
view_17451cae68b18dc9049b8ed6ace00329.png,1,True,562,5412,False,True,False
view_4444f0930e2b4efa977efcdbf5337d20.png,1,True,755,5412,False,True,False
view_ca8c093974517c20c9f70b9dd0064138.png,1,True,919,5412,False,True,False
view_b0267654008e1a53e50f8c0613a80098.png,1,True,929,5412,False,True,False
view_f8871ea2907e20bc5544bc565dfa262a.png,1,False,1152,5412,False,False,False
view_9b02136d8db23bec0831104e52963547.png,1,False,1173,5412,False,False,False
view_f3852fb68b0b3de138ddbcda41e3fc7b.png,1,False,1265,5412,False,False,False
view_c6ff152fa1f117da252ea351460521be.png,1,False,1437,5412,False,False,False
view_33a7a439057d102525c55da9fe1b0ace.png,1,False,1619,5412,False,False,False
view_e5781695fe273ec9a262860979d49e00.png,1,False,1951,5412,False,False,False
view_bb275cd494d93b8e04fdf46f1f22028a.png,1,False,2356,5412,False,False,False
view_043510f2c091b5462ccfe0eb6a091897.png,1,False,2554,5412,False,False,False
view_c3a4ab57d42393c3a6e8c4e4a811fb12.png,1,False,2984,5412,False,False,False
view_915f1eb9fbe5d08c2e56ed03767e38bd.png,1,False,3063,5412,False,False,False
view_0920dbb7ce6fc1f9c1addacb5d1d9b8b.png,1,False,3198,5412,False,False,False
view_f39c8bde94745a484e6730198bd54bc7.png,1,False,3624,5412,False,False,False
view_a108284ff64b9f8ad7fd44ff16fa3a23.png,1,False,3684,5412,False,False,False
view_a32f613e211adbcddeaabd1d5cd7e261.png,1,False,4250,5412,False,False,False
view_b856a7325a2f336fdf1c94e6fb3311b6.png,1,False,4287,5412,False,False,False
view_03e8fb460280409b3541bacb3d73770a.png,1,False,4313,5412,False,False,False
view_b9fe4790c02f0f8edbd28a4f22c54d46.png,1,False,4571,5412,False,False,False
view_2fd474f75f6b7ffdba1a88ec528ff943.png,1,False,4695,5412,False,False,False
view_2fecd352e53d0f934542a5bfa095083a.png,1,False,4819,5412,False,False,False
view_b888f5f094161ecc9f125735c6d13b0d.png,1,False,4875,5412,False,False,False
view_8fea87349e5bc20d45bce60c7e81d7b8.png,1,False,5132,5412,False,False,False
view_47862d2d0bb064be0cfa6e6198aad64d.png,1,False,5232,5412,False,False,False
view_ba27a1df2a40cc2f63697dfc71f86c79.png,5,True,3,10,False,False,True
view_0702af1b9b25fd7f1de5a51d009bf36c.png,10,True,0,26,True,True,True
view_03873cb330123484b28437172d028393.png,10,True,1,26,True,True,True
view_036db19dd3ca2bfe15721c3150990f86.png,16,True,3,32,True,True,True
view_52aab8a65f4106aa0022d30a17056599.png,16,False,15,32,False,False,False
view_388d4340422c2e5da6110b736456d4b7.png,21,False,14,27,False,False,False
view_aea4d42e51d6ff8a03869bcd017a8c5f.png,21,False,24,27,False,False,False
view_bed672cef70c91b21e0092a3bbffb37b.png,28,True,1,16,True,True,True
view_a4264a050fbc1523de3338d64580ba79.png,37,False,6,10,False,False,False
view_4d03888ec5acebf863fb8debe4535ffb.png,51,False,8,13,False,False,False
view_10c848e6af2d7371e7c8063e46ff610c.png,58,True,3,17,True,False,True
view_48f72e7fb6e500559fd750d5456ef584.png,60,False,2,3,False,False,False
view_69d0f1bb75ac90746cb81b7943ad209e.png,63,False,3,9,False,False,False
view_b189627e1375d433fe899275dffd499e.png,63,False,8,9,False,False,False
view_1b7713bc6b808e56e533c6512cba249f.png,65,True,0,40,True,True,True
view_a36526dc46a4ea7c7321eeb0068dc7e4.png,65,False,19,40,False,False,False
view_ac28492f1787a95585bf168676e5e07e.png,67,True,1,8,True,False,True
view_cb998351b18907c11d8dbd43fff35ea5.png,67,False,4,8,False,False,False
view_9099969ab4a16a477182d4d0a355d0bc.png,68,True,0,14,True,True,True
view_a5af5ebb87c06b9e8f612da9c70128a0.png,75,True,0,11,True,True,True
view_8f31eb7e5a23c5234243c915c5f14acf.png,87,False,4,5,False,False,False
view_453a65384090d62e4aa9582ec6ec5b69.png,116,True,2,6,True,False,False
view_7721915c5adce47fc5fb59f6d39733c0.png,120,False,3,4,False,False,False
view_6036d6a923e2fc4b26cb85b4324b61fd.png,125,False,1,5,False,False,False
